Date,Search Interest,Brand
2012-01-01,65,American Eagle
2012-02-01,66,American Eagle
2012-03-01,67,American Eagle
2012-04-01,61,American Eagle
2012-05-01,62,American Eagle
2012-06-01,62,American Eagle
2012-07-01,72,American Eagle
2012-08-01,89,American Eagle
2012-09-01,62,American Eagle
2012-10-01,57,American Eagle
2012-11-01,100,American Eagle
2012-12-01,83,American Eagle
2013-01-01,52,American Eagle
2013-02-01,54,American Eagle
2013-03-01,57,American Eagle
2013-04-01,49,American Eagle
2013-05-01,49,American Eagle
2013-06-01,54,American Eagle
2013-07-01,55,American Eagle
2013-08-01,65,American Eagle
2013-09-01,48,American Eagle
2013-10-01,51,American Eagle
2013-11-01,74,American Eagle
2013-12-01,84,American Eagle
2014-01-01,49,American Eagle
2014-02-01,44,American Eagle
2014-03-01,47,American Eagle
2014-04-01,48,American Eagle
2014-05-01,50,American Eagle
2014-06-01,48,American Eagle
2014-07-01,55,American Eagle
2014-08-01,57,American Eagle
2014-09-01,45,American Eagle
2014-10-01,44,American Eagle
2014-11-01,66,American Eagle
2014-12-01,71,American Eagle
2015-01-01,41,American Eagle
2015-02-01,41,American Eagle
2015-03-01,45,American Eagle
2015-04-01,45,American Eagle
2015-05-01,44,American Eagle
2015-06-01,48,American Eagle
2015-07-01,47,American Eagle
2015-08-01,55,American Eagle
2015-09-01,45,American Eagle
2015-10-01,44,American Eagle
2015-11-01,62,American Eagle
2015-12-01,67,American Eagle
2016-01-01,37,American Eagle
2016-02-01,39,American Eagle
2016-03-01,39,American Eagle
2016-04-01,39,American Eagle
2016-05-01,41,American Eagle
2016-06-01,42,American Eagle
2016-07-01,49,American Eagle
2016-08-01,48,American Eagle
2016-09-01,42,American Eagle
2016-10-01,40,American Eagle
2016-11-01,73,American Eagle
2016-12-01,59,American Eagle
2017-01-01,34,American Eagle
2017-02-01,37,American Eagle
2017-03-01,40,American Eagle
2017-04-01,41,American Eagle
2017-05-01,42,American Eagle
2017-06-01,39,American Eagle
2017-07-01,44,American Eagle
2017-08-01,45,American Eagle
2017-09-01,37,American Eagle
2017-10-01,36,American Eagle
2017-11-01,69,American Eagle
2017-12-01,53,American Eagle
2018-01-01,29,American Eagle
2018-02-01,36,American Eagle
2018-03-01,33,American Eagle
2018-04-01,32,American Eagle
2018-05-01,35,American Eagle
2018-06-01,40,American Eagle
2018-07-01,35,American Eagle
2018-08-01,34,American Eagle
2018-09-01,30,American Eagle
2018-10-01,30,American Eagle
2018-11-01,46,American Eagle
2018-12-01,36,American Eagle
2019-01-01,27,American Eagle
2019-02-01,25,American Eagle
2019-03-01,26,American Eagle
2019-04-01,31,American Eagle
2019-05-01,29,American Eagle
2019-06-01,30,American Eagle
2019-07-01,34,American Eagle
2019-08-01,36,American Eagle
2019-09-01,31,American Eagle
2019-10-01,27,American Eagle
2019-11-01,36,American Eagle
2019-12-01,34,American Eagle
2020-01-01,22,American Eagle
2020-02-01,24,American Eagle
2020-03-01,23,American Eagle
2020-04-01,28,American Eagle
2020-05-01,30,American Eagle
2020-06-01,28,American Eagle
2020-07-01,23,American Eagle
2020-08-01,21,American Eagle
2020-09-01,19,American Eagle
2020-10-01,18,American Eagle
2020-11-01,27,American Eagle
2020-12-01,20,American Eagle
2021-01-01,14,American Eagle
2021-02-01,13,American Eagle
2021-03-01,15,American Eagle
2021-04-01,15,American Eagle
2021-05-01,15,American Eagle
2021-06-01,14,American Eagle
2021-07-01,15,American Eagle
2021-08-01,16,American Eagle
2021-09-01,13,American Eagle
2021-10-01,14,American Eagle
2021-11-01,22,American Eagle
2021-12-01,16,American Eagle
2022-01-01,13,American Eagle
2022-02-01,12,American Eagle
2022-03-01,14,American Eagle
2022-04-01,13,American Eagle
2022-05-01,13,American Eagle
2022-06-01,14,American Eagle
2022-07-01,13,American Eagle
2022-08-01,14,American Eagle
2022-09-01,12,American Eagle
2022-10-01,13,American Eagle
2022-11-01,19,American Eagle
2022-12-01,17,American Eagle
2023-01-01,10,American Eagle
2023-02-01,11,American Eagle
2023-03-01,12,American Eagle
2023-04-01,11,American Eagle
2023-05-01,11,American Eagle
2023-06-01,11,American Eagle
2023-07-01,13,American Eagle
2023-08-01,12,American Eagle
2023-09-01,10,American Eagle
2023-10-01,10,American Eagle
2023-11-01,16,American Eagle
2023-12-01,13,American Eagle
2024-01-01,8,American Eagle
