Date,Search Interest,Brand
2012-01-01,64,Gap
2012-02-01,67,Gap
2012-03-01,75,Gap
2012-04-01,74,Gap
2012-05-01,67,Gap
2012-06-01,66,Gap
2012-07-01,68,Gap
2012-08-01,72,Gap
2012-09-01,74,Gap
2012-10-01,77,Gap
2012-11-01,100,Gap
2012-12-01,86,Gap
2013-01-01,66,Gap
2013-02-01,65,Gap
2013-03-01,74,Gap
2013-04-01,69,Gap
2013-05-01,68,Gap
2013-06-01,66,Gap
2013-07-01,65,Gap
2013-08-01,74,Gap
2013-09-01,69,Gap
2013-10-01,75,Gap
2013-11-01,96,Gap
2013-12-01,93,Gap
2014-01-01,62,Gap
2014-02-01,61,Gap
2014-03-01,69,Gap
2014-04-01,66,Gap
2014-05-01,65,Gap
2014-06-01,60,Gap
2014-07-01,60,Gap
2014-08-01,67,Gap
2014-09-01,66,Gap
2014-10-01,67,Gap
2014-11-01,90,Gap
2014-12-01,80,Gap
2015-01-01,54,Gap
2015-02-01,50,Gap
2015-03-01,57,Gap
2015-04-01,55,Gap
2015-05-01,59,Gap
2015-06-01,58,Gap
2015-07-01,58,Gap
2015-08-01,65,Gap
2015-09-01,63,Gap
2015-10-01,65,Gap
2015-11-01,81,Gap
2015-12-01,70,Gap
2016-01-01,49,Gap
2016-02-01,50,Gap
2016-03-01,53,Gap
2016-04-01,53,Gap
2016-05-01,56,Gap
2016-06-01,47,Gap
2016-07-01,53,Gap
2016-08-01,53,Gap
2016-09-01,54,Gap
2016-10-01,56,Gap
2016-11-01,81,Gap
2016-12-01,71,Gap
2017-01-01,51,Gap
2017-02-01,55,Gap
2017-03-01,55,Gap
2017-04-01,57,Gap
2017-05-01,54,Gap
2017-06-01,50,Gap
2017-07-01,52,Gap
2017-08-01,54,Gap
2017-09-01,59,Gap
2017-10-01,55,Gap
2017-11-01,76,Gap
2017-12-01,68,Gap
2018-01-01,49,Gap
2018-02-01,48,Gap
2018-03-01,48,Gap
2018-04-01,46,Gap
2018-05-01,51,Gap
2018-06-01,50,Gap
2018-07-01,49,Gap
2018-08-01,48,Gap
2018-09-01,50,Gap
2018-10-01,54,Gap
2018-11-01,78,Gap
2018-12-01,63,Gap
2019-01-01,45,Gap
2019-02-01,43,Gap
2019-03-01,45,Gap
2019-04-01,43,Gap
2019-05-01,45,Gap
2019-06-01,43,Gap
2019-07-01,43,Gap
2019-08-01,44,Gap
2019-09-01,44,Gap
2019-10-01,47,Gap
2019-11-01,59,Gap
2019-12-01,58,Gap
2020-01-01,36,Gap
2020-02-01,37,Gap
2020-03-01,31,Gap
2020-04-01,38,Gap
2020-05-01,47,Gap
2020-06-01,53,Gap
2020-07-01,44,Gap
2020-08-01,40,Gap
2020-09-01,49,Gap
2020-10-01,49,Gap
2020-11-01,56,Gap
2020-12-01,55,Gap
2021-01-01,33,Gap
2021-02-01,34,Gap
2021-03-01,40,Gap
2021-04-01,39,Gap
2021-05-01,37,Gap
2021-06-01,38,Gap
2021-07-01,36,Gap
2021-08-01,39,Gap
2021-09-01,41,Gap
2021-10-01,43,Gap
2021-11-01,54,Gap
2021-12-01,49,Gap
2022-01-01,35,Gap
2022-02-01,33,Gap
2022-03-01,32,Gap
2022-04-01,29,Gap
2022-05-01,31,Gap
2022-06-01,32,Gap
2022-07-01,30,Gap
2022-08-01,34,Gap
2022-09-01,32,Gap
2022-10-01,25,Gap
2022-11-01,25,Gap
2022-12-01,25,Gap
2023-01-01,19,Gap
2023-02-01,18,Gap
2023-03-01,20,Gap
2023-04-01,19,Gap
2023-05-01,22,Gap
2023-06-01,20,Gap
2023-07-01,20,Gap
2023-08-01,29,Gap
2023-09-01,36,Gap
2023-10-01,38,Gap
2023-11-01,50,Gap
2023-12-01,46,Gap
2024-01-01,33,Gap
